iid,nodes,edges,best_score
476,8,11,2
1579,8,9,3
1582,9,8,4
1583,9,10,3
100,10,15,3
675,10,31,2
1580,10,13,3
1581,10,10,4
1880,10,13,3
1881,10,15,3
12594,10,9,3
12690,10,9,3
12850,10,12,3
13470,10,11,4
13585,10,9,4
14655,10,9,4
15387,10,9,4
15632,10,9,4
15927,10,15,3
16253,10,10,4
16697,10,12,3
16985,10,9,4
17089,10,9,4
81284,10,9,4
82900,10,9,4
83303,10,9,4
83419,10,10,3
83764,10,11,3
83799,10,9,3
83912,10,11,4
84737,10,11,3
85748,10,12,3
68026,10,12,3
69143,10,16,3
69840,10,12,3
69994,10,9,5
70256,10,15,3
70800,10,12,3
71230,10,9,4
71314,10,11,3
71643,10,9,4
71748,10,10,4
71900,10,10,3
71920,10,11,3
71935,10,9,4
72013,10,11,3
72015,10,10,3
73282,10,11,4
73474,10,11,3
73621,10,10,4
73673,10,10,4
73726,10,10,4
75451,10,9,4
78342,10,14,3
79385,10,9,4
79729,10,9,4
80041,10,9,4
19506,10,12,4
19590,10,12,4
19625,10,11,4
20278,10,9,4
20316,10,9,4
20463,10,12,4
20597,10,10,4
20852,10,12,4
20853,10,10,4
20915,10,10,4
21035,10,11,3
21075,10,11,4
21138,10,11,3
21142,10,10,4
21145,10,11,4
21773,10,9,4
22148,10,9,4
22266,10,9,4
22270,10,9,3
22476,10,9,4
22538,10,10,4
22623,10,9,4
22779,10,9,4
24724,10,11,4
24782,10,9,4
24796,10,10,3
25397,10,10,4
25595,10,10,4
25615,10,10,4
25711,10,9,4
48860,10,12,4
49179,10,9,4
49227,10,9,4
49892,10,12,4
50543,10,9,3
36025,10,10,3
36457,10,9,4
36957,10,9,3
40175,10,10,4
41915,10,10,3
60135,10,11,4
60621,10,9,4
62341,10,9,4
63382,10,9,4
64154,10,9,3
64395,10,10,3
64905,10,9,4
65490,10,14,3
27681,10,9,4
27702,10,9,4
27724,10,9,4
28474,10,10,4
28534,10,9,4
28543,10,9,4
28563,10,9,4
28604,10,9,4
28624,10,9,4
28628,10,9,4
28636,10,9,4
28638,10,9,4
28814,10,9,4
28956,10,10,3
29907,10,9,4
29913,10,9,4
30077,10,10,4
30079,10,10,4
30082,10,9,4
30086,10,9,4
30087,10,9,4
30119,10,10,3
32631,10,13,3
33523,10,14,3
34079,10,9,4
52163,10,9,4
53453,10,10,3
54040,10,9,4
54760,10,9,4
55238,10,10,4
55413,10,9,4
55651,10,9,3
56914,10,9,4
57618,10,11,3
57857,10,11,3
58268,10,11,3
58500,10,10,4
58512,10,9,4
58552,10,10,4
58608,10,11,3
58637,10,10,4
58640,10,11,3
58845,10,10,3
58934,10,10,3
58981,10,10,3
52490,11,20,3
54625,11,11,4
54661,11,10,5
55525,11,10,4
55567,11,10,4
55638,11,10,4
57331,11,12,4
57352,11,12,4
57393,11,12,4
58815,11,12,4
69828,11,12,3
69974,11,10,5
69985,11,10,5
69988,11,10,4
69997,11,10,5
70990,11,14,3
71411,11,10,3
71635,11,10,4
72021,11,10,4
72176,11,18,3
73688,11,10,5
74751,11,10,4
75154,11,10,3
75221,11,10,3
77599,11,10,4
79347,11,10,4
12379,11,12,4
13005,11,10,4
13098,11,10,4
13122,11,10,4
13179,11,11,4
13259,11,10,4
14580,11,10,4
15005,11,10,4
15229,11,10,4
15278,11,11,4
15599,11,10,4
15747,11,11,4
15793,11,11,4
15995,11,10,4
16262,11,10,3
16461,11,12,4
16582,11,11,4
16925,11,11,4
17091,11,10,4
17166,11,10,4
82457,11,17,3
82617,11,13,4
82708,11,10,5
82780,11,10,4
83153,11,10,4
83181,11,10,4
83261,11,10,4
83276,11,10,4
83304,11,10,4
83793,11,11,4
83797,11,10,4
83806,11,11,4
84094,11,10,4
84622,11,11,4
84649,11,12,4
84653,11,10,5
20289,11,11,3
20295,11,11,3
20675,11,13,4
21122,11,13,4
21126,11,13,4
21593,11,10,4
21651,11,10,4
21842,11,10,5
22375,11,11,4
24737,11,11,3
24778,11,10,4
24810,11,11,4
24927,11,10,3
24976,11,10,5
25560,11,13,4
27045,11,10,4
27806,11,10,4
28259,11,10,5
28317,11,10,5
28550,11,10,4
28580,11,10,5
28688,11,12,3
28694,11,11,3
28703,11,12,3
28843,11,10,3
28948,11,12,3
29133,11,11,3
29923,11,10,4
30074,11,10,4
30080,11,10,4
30083,11,10,4
30090,11,10,4
30096,11,10,4
30118,11,10,4
30124,11,10,4
34197,11,11,3
35609,11,12,3
35622,11,11,3
36229,11,10,4
36252,11,11,4
36307,11,11,4
36393,11,10,5
36409,11,10,5
36417,11,10,5
36440,11,10,5
36455,11,10,5
36463,11,10,5
37543,11,11,3
